120	IKI20430	01.00.12.01-2009	IKI20700	06.00.12.01-2010
121	IKI20440	01.00.12.01-2009	CSC4601754	01.00.12.01-2012
122	IKI20440	01.00.12.01-2009	CSC4601754	06.00.12.01-2012
123	IKI20440	01.00.12.01-2009	CSC4601754	08.00.12.01-2012
124	IKI20440	01.00.12.01-2009	CSC4601754	09.00.12.01-2012
125	IKI20440	01.00.12.01-2009	CSCE604174	01.00.12.01-2016
126	IKI20440	01.00.12.01-2009	CSCE604174	06.00.12.01-2016
127	IKI20440	01.00.12.01-2009	CSCE604174	08.00.12.01-2016
128	IKI20440	01.00.12.01-2009	CSCE604174	09.00.12.01-2016
129	IKI20440	01.00.12.01-2009	IKI20440	01.00.12.01-2006
130	IKI20440	01.00.12.01-2009	IKI20440	06.00.12.01-2009
131	IKI20440	01.00.12.01-2009	IKO31754	01.00.12.01-2010
132	IKI20440	01.00.12.01-2009	IKO31754	06.00.12.01-2010
133	IKI20600	01.00.12.01-2009	IKI20600	01.00.12.01-2002
134	IKI20600	01.00.12.01-2009	IKI20600	01.00.12.01-2006
135	IKI20630	01.00.12.01-2009	IKI20630	01.00.12.01-2002
136	IKI20630	01.00.12.01-2009	IKI20630	01.00.12.01-2006
137	IKI20630	01.00.12.01-2009	IKI20630	06.00.12.01-2009
138	IKI20840	01.00.12.01-2009	CSF2600201	01.00.12.01-2012
139	IKI20840	01.00.12.01-2009	CSF2600201	06.00.12.01-2012
140	IKI20840	01.00.12.01-2009	CSF2600201	08.00.12.01-2012
141	IKI20840	01.00.12.01-2009	CSF2600201	09.00.12.01-2012
142	IKI20840	01.00.12.01-2009	CSGE602022	01.00.12.01-2016
143	IKI20840	01.00.12.01-2009	CSGE602022	06.00.12.01-2016
144	IKI20840	01.00.12.01-2009	CSGE602022	08.00.12.01-2016
145	IKI20840	01.00.12.01-2009	CSGE602022	09.00.12.01-2016
146	IKI20840	01.00.12.01-2009	IKI20201	01.00.12.01-2010
147	IKI20840	01.00.12.01-2009	IKI20201	06.00.12.01-2010
148	IKI20840	01.00.12.01-2009	IKI20840	01.00.12.01-2002
149	IKI20840	01.00.12.01-2009	IKI20840	01.00.12.01-2006
150	IKI20840	01.00.12.01-2009	IKI20840	06.00.12.01-2006
151	IKI20840	01.00.12.01-2009	IKI20840	06.00.12.01-2009
152	IKI30150	01.00.12.01-2009	IKI30150	01.00.12.01-2002
153	IKI30150	01.00.12.01-2009	IKI30150	01.00.12.01-2006
154	IKI30220	01.00.12.01-2009	IKI30220	01.00.12.01-2006
155	IKI30250	01.00.12.01-2009	IKI30250	01.00.12.01-2006
156	IKI30310	01.00.12.01-2009	IKI30310	01.00.12.01-2006
157	IKI30320	01.00.12.01-2009	IKI20310	01.00.12.01-2002
158	IKI30320	01.00.12.01-2009	IKI30320	01.00.12.01-2006
159	IKI30420	01.00.12.01-2009	IKI30420	01.00.12.01-2006
160	IKI30430	01.00.12.01-2009	IKI30430	01.00.12.01-2006
161	IKI30500	01.00.12.01-2009	IKI30500	01.00.12.01-2006
162	IKI30510	01.00.12.01-2009	IKI30510	01.00.12.01-2006
163	IKI30510	01.00.12.01-2009	IKI30510	06.00.12.01-2009
164	IKI30510	01.00.12.01-2009	IKI30510I	02.00.12.01-2002
165	IKI30600	01.00.12.01-2009	IKI30600	01.00.12.01-2006
166	IKI30630	01.00.12.01-2009	IKI30630	01.00.12.01-2006
167	IKI30640	01.00.12.01-2009	IKI20621	01.00.12.01-2002
168	IKI30640	01.00.12.01-2009	IKI30640	01.00.12.01-2006
