,pras1,pras2,y
324,2.0,4.0,hati hati
325,4.0,4.0,lulus
326,4.0,4.0,lulus
327,3.0,3.0,hati hati
328,3.0,3.0,hati hati
329,4.0,3.0,hati hati
330,4.0,3.0,hati hati
331,3.0,2.0,hati hati
332,3.0,2.0,hati hati
333,2.0,4.0,hati hati
334,2.0,4.0,hati hati
335,3.0,4.0,hati hati
336,3.0,4.0,hati hati
337,3.0,4.0,hati hati
338,3.0,4.0,hati hati
339,4.0,3.0,lulus
340,4.0,3.0,lulus
341,3.0,3.0,hati hati
342,3.0,3.0,hati hati
343,2.0,3.0,hati hati
344,2.0,3.0,hati hati
345,4.0,4.0,hati hati
346,4.0,4.0,hati hati
347,4.0,4.0,hati hati
348,3.0,2.0,lulus
349,3.0,2.0,lulus
350,3.0,4.0,hati hati
351,3.0,4.0,hati hati
352,3.0,4.0,hati hati
353,4.0,4.0,hati hati
354,4.0,4.0,hati hati
355,3.0,4.0,hati hati
356,3.0,4.0,hati hati
357,4.0,2.0,hati hati
358,4.0,2.0,hati hati
359,3.0,3.0,hati hati
360,3.0,3.0,hati hati
361,4.0,3.0,hati hati
362,4.0,3.0,hati hati
363,4.0,2.0,hati hati
364,4.0,2.0,hati hati
365,4.0,2.0,hati hati
366,3.0,2.0,lulus
367,3.0,2.0,lulus
368,4.0,3.0,tidak lulus
369,4.0,3.0,tidak lulus
370,4.0,3.0,tidak lulus
371,4.0,3.0,tidak lulus
372,4.0,1.0,hati hati
373,4.0,1.0,hati hati
374,3.0,3.0,lulus
375,3.0,3.0,lulus
376,4.0,4.0,hati hati
377,4.0,4.0,hati hati
378,4.0,4.0,hati hati
379,4.0,3.0,hati hati
380,4.0,3.0,hati hati
381,3.0,4.0,hati hati
382,3.0,4.0,hati hati
383,3.0,4.0,hati hati
384,3.0,2.0,lulus
385,3.0,2.0,lulus
386,4.0,4.0,hati hati
387,4.0,4.0,hati hati
388,4.0,3.0,hati hati
389,4.0,3.0,hati hati
390,2.0,4.0,lulus
391,2.0,4.0,lulus
392,2.0,2.0,lulus
393,2.0,2.0,lulus
394,3.0,3.0,hati hati
395,3.0,3.0,hati hati
396,4.0,4.0,hati hati
397,4.0,4.0,hati hati
398,2.0,3.0,hati hati
399,2.0,3.0,hati hati
400,2.0,2.0,hati hati
401,2.0,2.0,hati hati
402,3.0,3.0,hati hati
403,3.0,3.0,hati hati
404,3.0,3.0,hati hati
405,3.0,3.0,hati hati
406,4.0,3.0,lulus
407,4.0,3.0,lulus
408,3.0,1.0,hati hati
409,3.0,1.0,hati hati
410,4.0,3.0,hati hati
411,4.0,3.0,hati hati
412,4.0,3.0,hati hati
413,4.0,3.0,hati hati
414,2.0,2.0,hati hati
415,2.0,2.0,hati hati
416,4.0,3.0,lulus
417,4.0,3.0,lulus
418,4.0,3.0,hati hati
419,4.0,3.0,hati hati
420,3.0,3.0,hati hati
421,3.0,3.0,hati hati
422,4.0,3.0,lulus
423,4.0,3.0,lulus
424,4.0,3.0,hati hati
425,4.0,3.0,hati hati
426,4.0,4.0,hati hati
427,4.0,4.0,hati hati
428,4.0,4.0,hati hati
429,4.0,4.0,hati hati
430,2.0,2.0,lulus
431,2.0,2.0,lulus
432,4.0,2.0,hati hati
433,4.0,2.0,hati hati
434,4.0,2.0,hati hati
435,4.0,2.0,hati hati
436,4.0,2.0,hati hati
437,3.0,4.0,hati hati
438,3.0,4.0,hati hati
439,3.0,3.0,hati hati
440,3.0,3.0,hati hati
441,3.0,3.0,hati hati
442,2.0,2.0,hati hati
443,2.0,2.0,hati hati
444,3.0,1.0,hati hati
445,3.0,1.0,hati hati
446,3.0,1.0,hati hati
447,2.0,3.0,hati hati
448,2.0,3.0,hati hati
449,4.0,2.0,lulus
450,4.0,2.0,lulus
451,4.0,2.0,lulus
452,3.0,3.0,lulus
453,3.0,3.0,lulus
454,3.0,2.0,hati hati
455,3.0,2.0,hati hati
456,3.0,4.0,hati hati
457,3.0,4.0,hati hati
458,3.0,4.0,hati hati
459,3.0,2.0,hati hati
460,3.0,2.0,hati hati
461,4.0,3.0,hati hati
462,4.0,3.0,hati hati
463,3.0,4.0,hati hati
464,3.0,4.0,hati hati
465,3.0,4.0,hati hati
466,3.0,4.0,lulus
467,3.0,4.0,lulus
468,3.0,4.0,lulus
469,3.0,4.0,hati hati
470,3.0,4.0,hati hati
471,3.0,4.0,hati hati
472,2.0,3.0,lulus
473,2.0,3.0,lulus
474,4.0,3.0,lulus
475,4.0,3.0,lulus
476,3.0,2.0,lulus
477,3.0,2.0,lulus
478,3.0,3.0,hati hati
479,3.0,3.0,hati hati
480,3.0,2.0,hati hati
481,3.0,2.0,hati hati
482,4.0,4.0,lulus
483,4.0,4.0,lulus
484,4.0,4.0,lulus
485,2.0,2.0,lulus
486,2.0,2.0,lulus
487,2.0,2.0,lulus
488,4.0,3.0,hati hati
489,4.0,3.0,hati hati
490,3.0,4.0,lulus
491,3.0,4.0,lulus
492,3.0,4.0,lulus
493,3.0,4.0,lulus
494,2.0,4.0,lulus
495,2.0,4.0,lulus
496,4.0,4.0,lulus
497,4.0,4.0,lulus
498,3.0,2.0,hati hati
499,3.0,2.0,hati hati
500,4.0,4.0,lulus
501,4.0,4.0,lulus
502,2.0,4.0,hati hati
503,2.0,4.0,hati hati
504,4.0,3.0,lulus
505,4.0,3.0,lulus
506,4.0,3.0,lulus
507,3.0,3.0,lulus
508,3.0,3.0,lulus
509,3.0,3.0,hati hati
510,3.0,3.0,hati hati
511,3.0,4.0,hati hati
512,3.0,4.0,hati hati
513,4.0,4.0,hati hati
514,4.0,4.0,hati hati
515,4.0,4.0,lulus
516,4.0,4.0,lulus
517,4.0,2.0,lulus
518,4.0,2.0,lulus
519,1.0,3.0,lulus
520,1.0,3.0,lulus
521,2.0,3.0,hati hati
522,2.0,3.0,hati hati
523,2.0,3.0,hati hati
524,2.0,3.0,hati hati
525,3.0,4.0,hati hati
526,3.0,4.0,hati hati
527,3.0,4.0,lulus
528,3.0,4.0,lulus
529,2.0,3.0,hati hati
530,2.0,3.0,hati hati
531,2.0,2.0,lulus
532,2.0,2.0,lulus
533,2.0,3.0,lulus
534,2.0,3.0,lulus
535,2.0,3.0,lulus
536,2.0,3.0,hati hati
537,2.0,3.0,hati hati
538,4.0,1.0,lulus
539,4.0,1.0,lulus
540,2.0,2.0,hati hati
541,2.0,2.0,hati hati
542,2.0,3.0,lulus
543,2.0,3.0,lulus
544,2.0,3.0,hati hati
545,2.0,3.0,hati hati
546,4.0,3.0,lulus
547,4.0,3.0,lulus
548,2.0,4.0,lulus
549,2.0,4.0,lulus
550,2.0,4.0,lulus
551,2.0,4.0,lulus
552,4.0,4.0,lulus
553,4.0,4.0,lulus
554,4.0,3.0,lulus
555,4.0,3.0,lulus
556,3.0,3.0,lulus
557,3.0,3.0,lulus
558,3.0,3.0,lulus
559,3.0,3.0,lulus
560,4.0,3.0,lulus
561,4.0,3.0,lulus
562,3.0,1.0,hati hati
563,3.0,1.0,hati hati
564,3.0,2.0,hati hati
565,3.0,2.0,hati hati
566,2.0,2.0,hati hati
567,2.0,2.0,hati hati
568,3.0,4.0,hati hati
569,3.0,4.0,hati hati
570,2.0,4.0,lulus
571,2.0,4.0,lulus
572,3.0,3.0,lulus
573,3.0,3.0,lulus
574,2.0,3.0,lulus
575,2.0,3.0,lulus
576,2.0,3.0,lulus
577,2.0,3.0,lulus
578,3.0,4.0,hati hati
579,3.0,4.0,hati hati
580,4.0,4.0,hati hati
581,4.0,4.0,hati hati
582,4.0,4.0,hati hati
583,4.0,4.0,hati hati
584,4.0,2.0,hati hati
585,4.0,2.0,hati hati
586,1.0,3.0,lulus
587,1.0,3.0,lulus
588,4.0,4.0,lulus
589,4.0,4.0,lulus
590,4.0,2.0,lulus
591,4.0,2.0,lulus
592,3.0,4.0,lulus
593,3.0,4.0,lulus
594,3.0,3.0,hati hati
595,3.0,3.0,hati hati
596,2.0,2.0,lulus
597,2.0,2.0,lulus
598,3.0,3.0,hati hati
599,3.0,3.0,hati hati
600,3.0,3.0,hati hati
601,3.0,4.0,hati hati
602,3.0,4.0,hati hati
603,2.0,3.0,lulus
604,2.0,3.0,lulus
605,4.0,4.0,hati hati
606,4.0,4.0,hati hati
607,3.0,3.0,lulus
608,3.0,3.0,lulus
609,4.0,3.0,hati hati
610,4.0,3.0,hati hati
611,4.0,3.0,hati hati
612,4.0,4.0,hati hati
613,4.0,4.0,hati hati
614,4.0,4.0,hati hati
615,4.0,4.0,hati hati
616,4.0,4.0,hati hati
617,4.0,4.0,hati hati
618,4.0,3.0,hati hati
619,4.0,3.0,hati hati
620,4.0,3.0,hati hati
621,3.0,4.0,lulus
622,3.0,4.0,lulus
623,3.0,4.0,lulus
624,3.0,4.0,lulus
625,3.0,4.0,lulus
626,3.0,3.0,lulus
627,3.0,3.0,lulus
628,4.0,2.0,hati hati
629,4.0,2.0,hati hati
630,4.0,2.0,hati hati
631,3.0,2.0,lulus
632,3.0,2.0,lulus
633,4.0,3.0,hati hati
634,4.0,3.0,hati hati
635,4.0,3.0,hati hati
636,2.0,2.0,lulus
637,2.0,2.0,lulus
638,3.0,3.0,lulus
639,3.0,3.0,lulus
640,3.0,2.0,lulus
641,3.0,2.0,lulus
642,2.0,2.0,hati hati
643,2.0,2.0,hati hati
644,3.0,3.0,lulus
645,3.0,3.0,lulus
646,4.0,2.0,hati hati
647,4.0,2.0,hati hati
648,3.0,3.0,lulus
649,3.0,3.0,lulus
650,2.0,2.0,lulus
651,2.0,2.0,lulus
652,3.0,4.0,lulus
653,3.0,4.0,lulus
654,3.0,4.0,lulus
655,3.0,4.0,lulus
656,4.0,3.0,hati hati
657,4.0,3.0,hati hati
658,4.0,4.0,lulus
659,4.0,4.0,lulus
660,2.0,4.0,hati hati
661,2.0,4.0,hati hati
662,2.0,4.0,hati hati
663,3.0,3.0,lulus
664,3.0,3.0,lulus
665,4.0,4.0,lulus
666,4.0,4.0,lulus
667,4.0,4.0,lulus
668,4.0,4.0,lulus
669,4.0,4.0,lulus
670,2.0,3.0,lulus
671,4.0,2.0,lulus
672,3.0,3.0,lulus
673,4.0,3.0,lulus
674,4.0,3.0,lulus
675,4.0,2.0,lulus
676,3.0,2.0,lulus
677,3.0,2.0,lulus
678,2.0,4.0,lulus
679,4.0,4.0,lulus
680,3.0,4.0,lulus
681,3.0,3.0,lulus
682,2.0,3.0,lulus
683,4.0,4.0,lulus
684,2.0,4.0,lulus
685,3.0,4.0,lulus
686,2.0,3.0,lulus
687,2.0,2.0,lulus
688,3.0,2.0,lulus
689,3.0,3.0,lulus
690,4.0,4.0,lulus
691,4.0,3.0,lulus
692,4.0,4.0,lulus
693,4.0,3.0,lulus
694,4.0,2.0,lulus
695,3.0,4.0,lulus
696,4.0,2.0,lulus
697,3.0,4.0,lulus
698,3.0,3.0,lulus
699,4.0,2.0,lulus
700,4.0,3.0,lulus
701,2.0,3.0,lulus
702,4.0,2.0,lulus
703,4.0,3.0,lulus
704,4.0,3.0,lulus
705,2.0,2.0,lulus
706,4.0,4.0,lulus
707,4.0,4.0,lulus
708,4.0,3.0,lulus
709,2.0,4.0,lulus
710,4.0,4.0,lulus
711,3.0,4.0,lulus
712,4.0,4.0,lulus
713,4.0,4.0,lulus
714,4.0,3.0,lulus
715,3.0,4.0,lulus
716,3.0,4.0,lulus
717,3.0,3.0,lulus
718,4.0,3.0,lulus
719,4.0,3.0,lulus
720,3.0,3.0,lulus
721,4.0,2.0,lulus
722,2.0,2.0,lulus
723,3.0,2.0,lulus
724,4.0,1.0,lulus
725,4.0,3.0,lulus
726,3.0,3.0,lulus
727,3.0,2.0,lulus
728,4.0,4.0,lulus
729,3.0,3.0,lulus
730,3.0,3.0,lulus
731,4.0,2.0,lulus
732,4.0,4.0,lulus
733,3.0,2.0,lulus
734,4.0,3.0,lulus
735,4.0,3.0,lulus
736,4.0,1.0,lulus
737,3.0,3.0,lulus
738,4.0,1.0,lulus
739,2.0,3.0,lulus
740,3.0,3.0,lulus
741,4.0,4.0,lulus
742,4.0,3.0,lulus
743,2.0,4.0,lulus
744,4.0,3.0,lulus
745,4.0,3.0,lulus
746,4.0,4.0,lulus
747,4.0,3.0,lulus
748,3.0,2.0,lulus
749,4.0,3.0,lulus
750,3.0,2.0,lulus
751,3.0,3.0,lulus
752,2.0,3.0,lulus
753,3.0,2.0,lulus
754,4.0,3.0,lulus
755,4.0,3.0,lulus
756,2.0,4.0,lulus
757,4.0,3.0,lulus
758,3.0,3.0,lulus
759,3.0,4.0,lulus
760,4.0,4.0,lulus
761,3.0,4.0,lulus
762,4.0,2.0,lulus
763,2.0,3.0,lulus
764,4.0,4.0,lulus
765,4.0,3.0,lulus
766,4.0,3.0,lulus
767,3.0,3.0,lulus
768,3.0,2.0,lulus
769,3.0,2.0,lulus
770,3.0,3.0,lulus
771,4.0,3.0,lulus
772,4.0,3.0,lulus
